TM - Harmonized Term,Bloqueado por,Bloqueando,Country,Data,ID,Property is linked to EU terms or other Harmonized Terms,Related FB:properties,Rollup,Subitem,TC - Adopted definition,TC - Article ID (it depends of the country),TC - Expert Definition (English),TC - Expert Definition (Native Language)),TC - Explicit Definition (English),"TC - Explicit Definition (Native Language) ",TC - FB:Domains,TC - Fire Expert Entity,TC - Fire Expert Guidance,TC - Implicit Definition  (English),TC - Implicit Definition  (Native Language),TC - Last Edition,TD - Comment IFC,TD - IFC Entity,TD - Mapping IFC,TD - Type,TD - Unit,TD - Value,TM - Designators,TM - Equivalent Term,TM - FB:documents,TM - Fire Expert Validation,TM - Name (English),TM - Name (native language),TM - Remarks,TR - Code,TR - Definition (English),TR - Definition (Native Language),TR - Derivation,TR - Domain,TR - Domains,TR - FB:articles,TR - FB:articles (WIP),TR - ISO definition,TR - Interpretation level,TR - Language,TR - Remarks,TR - SO Term IRI,TR - Status,item principal
TypeProject,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,432,,,,,,,,,,,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,,,New/existing/renovation,,,,,,0. BUILDING INFORMATION,,,,,,,NA,,
IndividualCoveredCarPark,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,436,,,,,Explicit definition,"n.º 28 do art.º 1º do Anexo I ao
  RT-SCIE",NA,NA,Covered space with an area equal to or less than 50 m2 intended for car parking,Espaço coberto com área igual ou inferior a 50 m2 destinado ao estacionamento automóvel,,RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Individual covered car park,Estacionamento individual coberto,NA,,,,,,0. BUILDING INFORMATION,,,,,,,NA,,
CollectiveCoveredCarPark,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,440,,,,,Explicit definition,"n.º 29 do art.º 1º do Anexo I ao
",NA,NA,Covered space with an area greater than 50 m2 intended for car parking,Espaço coberto com área superior a 50 m2 destinado ao estacionamento automóvel,0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),RT-SCIE,NA,Car parks with an area of less than 200 m² (indoor),Estacionamentos com área inferior a 200 m2 (interiores),"January 6, 2026 1:13 PM",,,,,,,NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Collective covered car park,Estacionamento coletivo coberto,NA,,,,,,0. BUILDING INFORMATION,,,,,,,NA,,
LowRiseBuilding,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,433,,,,,Explicit Definition,n.º 1 do art.º 1º do Anexo I ao RT-SCIE,NA,NA,Height (H) ≤ 9 m,Altura (H) ≤ 9 m,,RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Low-rise building,Edifício de pequena altura,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,HeightBuilding (https://www.notion.so/HeightBuilding-151f8487e6e7808eb31de33a3cf67d48?pvs=21)
MideRiseBuilding,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,434,,,,,Explicit Definition,n.º 1 do art.º 1º do Anexo I ao RT-SCIE,NA,NA,9 m < Height (H) ≤ 28 m,9 m < Altura (H) ≤ 28 m,,RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Mide-rise building,Edifício de média altura,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,HeightBuilding (https://www.notion.so/HeightBuilding-151f8487e6e7808eb31de33a3cf67d48?pvs=21)
HighRiseBuilding,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,439,,,,,Explicit Definition,n.º 1 do art.º 1º do Anexo I ao RT-SCIE,NA,NA,28 m < Height (H) ≤ 50 m,28 m < Altura (H) ≤ 50 m,,RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,High-rise building,Edifício de grande altura,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,HeightBuilding (https://www.notion.so/HeightBuilding-151f8487e6e7808eb31de33a3cf67d48?pvs=21)
"VeryTallBuilding
",,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,437,,,,,Explicit Definition,n.º 1 do art.º 1º do Anexo I ao RT-SCIE,NA,NA,Height (H) > 50 m,Altura (H) > 50 m,,RT-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Very tall building,Edifício de muita grande altura,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,HeightBuilding (https://www.notion.so/HeightBuilding-151f8487e6e7808eb31de33a3cf67d48?pvs=21)
DominantUse,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,442,,,,,Explicit definition,alínea s) do art.º 2º do RJ-SCIE,NA,NA,"This is the use which, among the various uses of its spaces, defines the purpose that allows it to be classified as a specific occupancy type(UT I to UT XII).","É aquele que, de entre os diversos usos dos seus espaços, define a finalidade que permite atribuir a classificação de determinada utilização -tipo(UT I a UT XII)",0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21),RJ-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,Regulamento Técnico de Segurança Contra Incêndio em Edifícios (https://www.notion.so/Regulamento-T-cnico-de-Seguran-a-Contra-Inc-ndio-em-Edif-cios-197f8487e6e78004900fcc8c7f0257ea?pvs=21),Yes,Dominant use of a occupancy type,Uso dominante de uma utilização-tipo,NA,,,,,,0. BUILDING INFORMATION,,,,,,,NA,,
OccupancyTypeScopeCheck1,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,438,,,,,Explicit definition,alínea a) do n.º 3 do art.º 8º do RJ-SCIE,NA,NA,"The general and specific provisions of the type of use to which they belong apply to spaces integrated into a given type of use, under the conditions indicated below, and no other provisions are applicable:
a) Spaces where administrative, document archiving and storage activities necessary for the functioning of entities operating occupancy types III to XII are carried out, provided that they are managed under their responsibility, are not normally accessible to the public and each of these spaces does not have a gross area exceeding:
i) 10% of the gross area allocated to occupancy types III to VII, IX and XI;
ii) 20% of the gross area allocated to occupancy types VIII, X and XII;","Aos espaços integrados numa dada utilização -tipo, nas condições a seguir indicadas, aplicam-se as disposições gerais e as específicas da utilização-tipo onde se inserem, não sendo aplicáveis quaisquer outras:
a) Espaços onde se desenvolvam atividades administrativas, de arquivo documental e de armazenamento necessários ao funcionamento das entidades que exploram as utilizações-tipo IIIa XII, desde que sejam geridos sob a sua responsabilidade, não estejam normalmente acessíveisao público e cada um desses espaços não possua uma área bruta superior a:
i) 10 % da área bruta afeta às utilizações-tipo III a VII, IX e XI;
ii) 20 % da área bruta afeta às utilizações-tipo VIII, X e XII;",,RJ-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Check #1,"Verificação n.º 1 ",NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,MixedOccupancyType (https://www.notion.so/MixedOccupancyType-268f8487e6e78023b01ce1980d72ad70?pvs=21)
OccupancyTypeScopeCheck2,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,435,,,,,Explicit definition,alínea b) do n.º 3 do art.º 8º do RJ-SCIE,NA,NA,"The general and specific provisions for the type of use to which they belong apply to spaces integrated into a given type of use, under the conditions indicated below, and no other provisions are applicable:
b) Spaces for meetings, religious worship, conferences and lectures, or where training activities, sports or leisure activities may be carried out, as well as restaurants and bars, provided that these spaces are managed under the responsibility of entities operating occupancy types III to XII and their capacity does not exceed 200 people in buildings or 1,000 people outdoors;","Aos espaços integrados numa dada utilização-tipo, nas condições a seguir indicadas, aplicam-se as disposições gerais e as específicas da utilização-tipo onde se inserem, não sendo aplicáveis quaisquer outras:
b) Espaços de reunião, culto religioso, conferências e palestras, ou onde se possam ministrar ações de formação, desenvolver atividades desportivas ou de lazer e, ainda, os estabelecimentos de restauração e bebidas, desde que esses espaços sejam geridos sob a responsabilidade das entidades exploradoras de utilizações-tipo III a XII e o seu efetivo não seja superior a 200 pessoas, em edifícios, ou a 1000 pessoas, ao ar livre;",,RJ-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Check #2,Verificação n.º 2,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,MixedOccupancyType (https://www.notion.so/MixedOccupancyType-268f8487e6e78023b01ce1980d72ad70?pvs=21)
OccupancyTypeScopeCheck3,,,Portugal (https://www.notion.so/Portugal-154f8487e6e780e58bafdaa07b8479b1?pvs=21),,441,,,,,Explicit definition,alínea c) do n.º 3 do art.º 8º do RJ-SCIE,NA,NA,"The general and specific provisions for the type of use to which they belong apply to spaces integrated into a given type of use, under the conditions indicated below, and no other provisions are applicable:
c) Commercial spaces, workshops, libraries and exhibition spaces, as well as medical, first aid and nursing stations, provided that they are managed under the responsibility of entities operating occupancy types III to XII and have a gross area not exceeding 200 m2.","Aos espaços integrados numa dada utilização-tipo, nas condições a seguir indicadas, aplicam-se as disposições gerais e as específicas da utilização-tipo onde se inserem, não sendo aplicáveis quaisquer outras:
c) Espaços comerciais, oficinas, bibliotecas e espaços de exposição, bem como postos médicos, de socorros e de enfermagem, desde que sejam geridos sob a responsabilidade das entidades exploradoras de utilizações-tipo III a XII e possuam uma área bruta não superior a 200 m2.",,RJ-SCIE,NA,NA,NA,"January 6, 2026 1:13 PM",,,,,,,NA,NA,,Yes,Check #3,Verificação n.º 3,NA,,,,,,0. BUILDING INFORMATION,,,,,,,,,MixedOccupancyType (https://www.notion.so/MixedOccupancyType-268f8487e6e78023b01ce1980d72ad70?pvs=21)
RoomfunctionResidentialunit,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,443,Roomfunction (https://www.notion.so/Roomfunction-2a8f8487e6e780d99665ff8c6360a37c?pvs=21),,,,,,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Residential unit,Boenhed,,,,,,,,,,,,,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
RoomfunctionDormitory,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,448,,,,,,,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Dormitory,Kollegieværelse,,,,,,,,,,,,,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
RoomfunctionOfficespace,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,449,,,,,,,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Office space,Kontorlokaler,,,,,,,,,,,,,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
RoomfunctionStorageroom,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,444,Roomfunction (https://www.notion.so/Roomfunction-2a8f8487e6e780d99665ff8c6360a37c?pvs=21),,,,,,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Storageroom,Depot,,,,,,,,,,,,,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
RoomfunctionCopyroom,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,451,,,,,,,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Copy room,Kopirum,,,,,,,,,,,,,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
RoomfunctionShop,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,447,Roomfunction (https://www.notion.so/Roomfunction-2a8f8487e6e780d99665ff8c6360a37c?pvs=21),,,,,,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Shop including storage room,Butik med lagerrum,,,,,,,,,,,,,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
RoomfunctionStorage,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,452,,,,,,,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Storage room,Lagerrum,,,,,,,,,,,,,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
RoomfunctionStaffroom,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,450,,,,,,,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Staff room,Personalerum,,,,,,,,,,,,,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
RoomfunctionCanteen,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,445,,,,,,,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Canteen,Kantine,,,,,,,,,,,,,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
RoomfunctionClassrooms,,,Denmark (https://www.notion.so/Denmark-154f8487e6e7807dab05d78601958862?pvs=21),,446,,,,,,,,,,,,,,,,"January 6, 2026 1:13 PM",,,,,,,,,,No,Classrooms,Undervisningsrum,,,,,,,,,,,,,,NA,,Roomfunction (https://www.notion.so/Roomfunction-24ff8487e6e780e0a945c9b115ee6c19?pvs=21)
FireResistanceBuilding,,,Lithuania (https://www.notion.so/Lithuania-200f8487e6e780d687f2f2bfcf03c6d4?pvs=21),,453,,,,,Explicit Definition,"Chapter VIII, Paragraph 40, Table 2",NA,NA,"Buildings and fire compartments of buildings, taking into account their fire load categories and the fire resistance of the structural elements used to build them, are divided into buildings and fire compartments of fire resistance levels I, II, III.","Statiniai, statinių gaisriniai skyriai, atsižvelgiant į jų gaisro apkrovos kategorijas ir jiems statyti panaudotų konstrukcijų elementų atsparumą ugniai, skirstomi į I, II, III atsparumo ugniai laipsnio statinius, statinių gaisrinius skyrius. ","0. BUILDING INFORMATION (https://www.notion.so/0-BUILDING-INFORMATION-24ef8487e6e78019b1f8d4716fa5c5b6?pvs=21), 1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:10 PM",,,,,,,NA,NA,GAISRINĖS SAUGOS PAGRINDINIAI REIKALAVIMAI Nr. 1-338 (https://www.notion.so/GAISRIN-S-SAUGOS-PAGRINDINIAI-REIKALAVIMAI-Nr-1-338-202f8487e6e78025b680ee2c9cc21e51?pvs=21),Yes,Fire resistance rating of the Building,Statinio atsparumo ugniai laipsnis,Usually Fire Safety engineer decides what Fire resistance rating of the building will be,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,lt-LT,,NA,To be reviewed,
AreaConditionalFireCompartment,,,Lithuania (https://www.notion.so/Lithuania-200f8487e6e780d687f2f2bfcf03c6d4?pvs=21),,454,,,,,Explicit Definition,"Annex 3, Paragraph 1, Table 1",NA,NA,"Conditional area of the fire department, depending on the purpose of the building [m2]. The numerical value is specified in Table 1 of Annex 3 to the Basic Fire Safety Requirements.","Sąlyginis gaisrinio skyriaus plotas, priklausantis nuo statinio paskirties [m2]. Skaitinė reikšmė nurodyta Gaisrinės saugos pagrindinių reikalavimų 3 priedo 1-oje lentelėje.","1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:10 PM",,,,,,,Fs,NA,GAISRINĖS SAUGOS PAGRINDINIAI REIKALAVIMAI Nr. 1-338 (https://www.notion.so/GAISRIN-S-SAUGOS-PAGRINDINIAI-REIKALAVIMAI-Nr-1-338-202f8487e6e78025b680ee2c9cc21e51?pvs=21),Yes,Conditional Fire Compartment Area,Sąlyginis gaisrinio skyriaus plotas,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,lt-LT,,NA,To be reviewed,
CalculatedAltitude,,,Lithuania (https://www.notion.so/Lithuania-200f8487e6e780d687f2f2bfcf03c6d4?pvs=21),,455,,,,,Explicit Definition,"Annex 3, Paragraph 1, Table 1",NA,NA,The calculated altitude depends on the purpose of the building [m]. The numerical value is specified in Table 1 of Annex 3 to the Basic Fire Safety Requirements.,Skaičiuojamoji altitudė priklausanti nuo statinio paskirties [m]. Skaitinė reikšmė nurodyta Gaisrinės saugos pagrindinių reikalavimų 3 priedo 1-oje lentelėje.,"1. COMPARTMENTATION (https://www.notion.so/1-COMPARTMENTATION-24ef8487e6e7808d892ec82164849ae4?pvs=21), 1.1 Compartment Size (https://www.notion.so/1-1-Compartment-Size-24ef8487e6e780bab878d5d61d71922b?pvs=21)",NA,NA,NA,NA,"January 6, 2026 1:10 PM",,,,,,,Habs,NA,GAISRINĖS SAUGOS PAGRINDINIAI REIKALAVIMAI Nr. 1-338 (https://www.notion.so/GAISRIN-S-SAUGOS-PAGRINDINIAI-REIKALAVIMAI-Nr-1-338-202f8487e6e78025b680ee2c9cc21e51?pvs=21),Yes,Calculated altitude,Skaičiuojamoji altitudė,NA,,,,,,"1. COMPARTMENTATION, 1.1 Compartment Size",,,,,lt-LT,,NA,To be reviewed,
AutomaticFireAlarmsystem,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,474,AutomaticFireAlarmsystem (https://www.notion.so/AutomaticFireAlarmsystem-151f8487e6e780acb6a2ed6a6e96ab25?pvs=21),,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Automatic Fire Alarm system,Automatic Fire Alarm system,,,,,,,,,,,,,,,,
AutomaticFireVentilationsystem,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,466,AutomaticFireVentilationsystem (https://www.notion.so/AutomaticFireVentilationsystem-151f8487e6e780c0a14bd2c7b78f60bc?pvs=21),,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Automatic Fire Ventilationsystem,Automatic Fire Ventilationsystem,,,,,,,,,,,,,,,,
AutomaticWarningSystem,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,461,AutomaticWarningsystem (https://www.notion.so/AutomaticWarningsystem-151f8487e6e780c99835da6a4163a27d?pvs=21),,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Automatic warning system,Automatic warning system,,,,,,,,,,,,,,,,
FireSafetyUnit,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,484,,,,,,,,,,,,,,,,"November 12, 2025 4:14 PM",,,,,,,,,,No,Fire safety unit,Fire safety unit,,,,,,,,,,,,,,,,
BoundaryFireCompartment,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,480,"BoundarySubcompartment (https://www.notion.so/BoundarySubcompartment-151f8487e6e78090953bc8ffbac2f18f?pvs=21), SeparationFire (https://www.notion.so/SeparationFire-151f8487e6e780039d30e3a8c3166fe5?pvs=21), BoundaryFireCompartment (https://www.notion.so/BoundaryFireCompartment-151f8487e6e7808fb6c3f0b89dd68121?pvs=21)",,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Fire compartment - boundary,Fire compartment - boundary,,,,,,,,,,,,,,,,
WalltypeCompartmentFirewall,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,456,"WalltypeSubcompartmentFirewall (https://www.notion.so/WalltypeSubcompartmentFirewall-1b2f8487e6e78030b624df71f869a942?pvs=21), WalltypeCompartmentFirewall (https://www.notion.so/WalltypeCompartmentFirewall-1b2f8487e6e780c68f94cddce381314b?pvs=21), WalltypeBuildingFirewall (https://www.notion.so/WalltypeBuildingFirewall-151f8487e6e780e39a9ac98952f1becb?pvs=21)",,,,,,,,,,,,,,,"November 12, 2025 4:15 PM",,,,,,,,,,No,Compartment Firewall,Compartment Firewall,,,,,,,,,,,,,,,,
Roomfunction,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,481,"RoomfunctionResidentialunit (https://www.notion.so/RoomfunctionResidentialunit-276f8487e6e78025938ad07cfd899a84?pvs=21), SpaceLivingunit (https://www.notion.so/SpaceLivingunit-151f8487e6e7801a95fade238b16fcdd?pvs=21), RoomfunctionShop (https://www.notion.so/RoomfunctionShop-276f8487e6e7804d97d1fc3a06a23d96?pvs=21), RoomfunctionStorageroom (https://www.notion.so/RoomfunctionStorageroom-276f8487e6e78027a913c1e074f45192?pvs=21), RoomfunctionEscaperouteCorridor (https://www.notion.so/RoomfunctionEscaperouteCorridor-151f8487e6e78091963dcb4545955bc5?pvs=21)",,,,,,,,,,,,,,,"November 12, 2025 4:14 PM",,,,,,,,,,No,Room function,Room function,,,,,,,,,,,,,,,,
BuildingFunctionalFireUnit?,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,471,,,,,,,,,,,,,,"(from DK) A building, or part of a building, in which the existing fire
risk conditions indicated by use category(ies) and risk class are
similar. A Functional Fire Unit shall be assigned to one or more use
categories, but only one risk class.
A Functional Fire Unit may consist of one or more rooms, and a Functional Fire Unit
also includes supporting functions such as corridors, kitchens,
storage rooms, technical rooms, toilet rooms, bathrooms or similar, which are
directly related to the function of the Functional Fire Unit.
A Functional Fire Unit can be organised as one or more fire compartments and must have access to associated escape routes.",,"November 13, 2025 8:53 AM",,,,,,,,,,No,Functional Fire Unit,Functional Fire Unit,,,,,,,,,,,,,,,,
BuildingFireCompartmentDaytimeoccupancy,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,465,,,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Daytime occupancy buildings,Daytime occupancy buildings,,,,,,,,,,,,,,,,
BuildingLayers,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,464,BuildingLayers (https://www.notion.so/BuildingLayers-151f8487e6e7803c939dc924dbcbf60c?pvs=21),,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Building-number of building layers,Building-number of building layers,,,,,,,,,,,,,,,,
EvacuationTime,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,482,EvacuationTime (https://www.notion.so/EvacuationTime-151f8487e6e78091a6fee46206c0ae52?pvs=21),,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Evacuation time,Evacuation time,,,,,,,,,,,,,,,,
EmergencyExitLighting,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,479,EmergencyExitLighting (https://www.notion.so/EmergencyExitLighting-151f8487e6e78023ac14c6411927a763?pvs=21),,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Emergency exit lighting,Emergency exit lighting,,,,,,,,,,,,,,,,
DoorEscaperoute,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,468,DoorEscaperoute (https://www.notion.so/DoorEscaperoute-151f8487e6e7808cb60dc47065e43a7a?pvs=21),,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Escape route door,Escape route door,,,,,,,,,,,,,,,,
AreaEvacuationroute,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,462,AreaEvacuationroute (https://www.notion.so/AreaEvacuationroute-151f8487e6e780629f6de578c7bda3ae?pvs=21),,,,,,,,,,,,,,,"November 13, 2025 8:53 AM",,,,,,,,,,No,Evacuation route passage or Evacuation route area,Evacuation route passage or Evacuation route area,,,,,,,,,,,,,,,,
WidthFreeEvacuationroutes,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,483,,,,,,,,,,,,,,,,"November 12, 2025 4:15 PM",,,,,,,,,,No,Free width Evacuation routes,Free width Evacuation routes,,,,,,,,,,,,,,,,
WidthFreeDoors,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,486,,,,,,,,,,,,,,,,"November 12, 2025 4:15 PM",,,,,,,,,,No,Free width Emergency escape door,Free width Emergency escape door,,,,,,,,,,,,,,,,
DistanceDirectTravel,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,460,,,,,,,,,,,,,,"(from DK) The theoretical longest distance a person must travel to reach the nearest exit or exit door by moving along a path of travel. The paths are laid out corresponding to the most unfavorable location of the person. ",,"November 13, 2025 8:53 AM",,,,,,,,,,No,Distance - Direct travel distance (theoretical),Distance - Direct travel distance (theoretical),,,,,,,,,,,,,,,,
DistanceActualTravel,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,478,,,,,,,,,,,,,,"(from DK) The actual distance that a person must walk in a walking line to reach a given point. The walking line is laid out as the direct route, taking into account fixed obstacles or fixtures, and on a walkable surface. Also used to refer to the physical length of a corridor.",,"November 13, 2025 8:53 AM",,,,,,,,,,No,Distance - Actual travel distance ,Distance - Actual travel distance ,,,,,,,,,,,,,,,,
DistancePathway,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,476,,,,,,,,,,,,,,"(from DK) Imaginary line that you follow when walking towards a door in a room, down a hallway or on a staircase or ramp, for example. Where the pathway runs along inclined building elements, such as ramps or stairs, the pathway is laid out as the inclined line along the element from top to bottom.",,"November 13, 2025 8:53 AM",,,,,,,,,,No,Distance - Pathway,Distance - Pathway,,,,,,,,,,,,,,,,
TimeWalking,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,475,,,,,,,,,,,,,,,,"November 12, 2025 4:15 PM",,,,,,,,,,No,Walking time,Walking time,,,,,,,,,,,,,,,,
AreaFloorRoom,,,Europe (https://www.notion.so/Europe-154f8487e6e7801196f5c873882636a5?pvs=21),,477,,,,,,,,,,,,,,,,"November 21, 2025 12:31 PM","Qto_SpaceBaseQuantities.NetFloorArea is not the same, as it excludes columns etc…",,,,,Number,,,,No,Floor area in rooms,Floor area in rooms,,,,,,,,,,,,,,,,
